Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID,Num Orders
2025-09-09 10:39:55,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,AM,1582050651665,2495638239,0
2025-09-09 10:39:52,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,WS,1582070833568,2495493710,0
2025-09-09 10:39:51,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,AM,1582050651665,2495705664,0
2025-09-09 10:39:51,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495592082,0
2025-09-09 10:39:49,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,"AM,UX,W4",1582070955105,2495741071,0
2025-09-09 10:39:47,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,UA,1582050651665,2495496328,0
2025-09-09 10:39:47,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,"AS,WS",1582070833568,2495759032,0
2025-09-09 10:39:43,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,UA,1582050651665,2495780043,0
2025-09-09 10:39:43,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,WS,1582070833568,2495415661,0
2025-09-09 10:39:40,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,UA,1582050651665,2495685087,0
2025-09-09 10:39:39,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AA,1582070833568,2495719237,0
2025-09-09 10:39:36,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,UA,1582050651665,2495617281,0
2025-09-09 10:39:35,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495798020,0
2025-09-09 10:39:31,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,TS,1582050651665,2495347689,0
2025-09-09 10:39:29,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,"AS,WS",1582070833568,2495665093,0
2025-09-09 10:39:27,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,IB,1582070955105,2495741069,0
2025-09-09 10:39:26,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495450620,0
2025-09-09 10:39:22,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495628274,0
2025-09-09 10:39:19,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,AC,1582050651665,2495791015,0
2025-09-09 10:39:18,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,UA,1582050651665,2495784025,0
2025-09-09 10:39:16,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495412760,0
2025-09-09 10:39:12,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,TK,1582065289991,2495466389,0
2025-09-09 10:39:12,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AA,1582070833568,2495477681,0
2025-09-09 10:39:10,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,AC,1582050651665,2495424643,0
2025-09-09 10:39:09,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AA,UA",1582065289991,2495460379,0
2025-09-09 10:39:09,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,"AM,UX,W4",1582070955105,2495617278,0
2025-09-09 10:39:08,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,Y4,1582070833568,2495663120,0
2025-09-09 10:39:05,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495601149,0
2025-09-09 10:39:04,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495450618,0
2025-09-09 10:39:01,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AM,1582070833568,2495492599,0
2025-09-09 10:39:00,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AA,UA",1582065289991,2495651230,0
2025-09-09 10:38:59,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495492598,0
2025-09-09 10:38:58,booking_co,booking,Cancun,Toronto,One-Way,2025-09-23,,1,0,0,Y,,2445,AC,1582050651665,2495711595,0
2025-09-09 10:38:58,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495723248,0
2025-09-09 10:38:56,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,UA,1582065289991,2495638236,0
2025-09-09 10:38:55,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AA,1582124068947,2495759023,0
2025-09-09 10:38:55,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495438831,0
2025-09-09 10:38:53,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495477677,0
2025-09-09 10:38:53,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AS,UA",1582065289991,2495630279,0
2025-09-09 10:38:51,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495755045,0
2025-09-09 10:38:51,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,CM,1582065289991,2495510873,0
2025-09-09 10:38:49,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2492157782,0
2025-09-09 10:38:48,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495524973,0
2025-09-09 10:38:47,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AA,1582124068947,2495466380,0
2025-09-09 10:38:46,booking_co,booking,New York,Mexico City,One-Way,2025-10-04,,1,0,0,Y,,2442,"AM,NK",1582065289991,2495751021,0
2025-09-09 10:38:45,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495466379,0
2025-09-09 10:38:40,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,AA,1582124068947,2495442813,0
2025-09-09 10:38:38,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495462842,0
2025-09-09 10:38:37,booking_co,booking,Mexico City,Denver,One-Way,2025-09-17,,1,0,0,Y,,2370,UA,1582124068947,2495711592,0
